center_field,game_str,play_id,play_per_game,line_distance,full_distance,route_efficiency,time_delta,avg_speed,first_step_speed,first_step_check,hang_time,easy_catch
1144,1903_19_TeamNL_TeamB,21,22,60.82473409,73.06737686,0.8324472112,7.6,9.614128534,3.257670826,1,4.3,1
1144,1903_19_TeamNL_TeamB,64,66,15.22087262,28.86719143,0.5272723762,7.5,3.848958857,5.154490629,0,4.2,1
1144,1903_19_TeamNL_TeamB,119,123,67.8518076,85.57426754,0.7928996596,13.35,6.410057493,6.198561386,1,8.4,1
1144,1903_19_TeamNL_TeamB,164,168,32.38682904,53.80533491,0.6019259818,11.9,4.521456715,3.925780238,1,6.75,1
1144,1903_19_TeamNL_TeamB,223,227,24.6392614,34.05539437,0.7235053903,8.2,4.153096875,3.123743514,1,4.8,1
1144,1903_21_TeamNL_TeamB,110,113,16.35609404,20.06210684,0.8152730002,6.4,3.134704194,6.024795739,1,3.3,1
1144,1903_21_TeamNL_TeamB,135,138,62.36520145,100.2769801,0.6219293939,11.35,8.834976219,1.649372199,0,7.15,1
1144,1903_21_TeamNL_TeamB,158,161,36.14530309,50.78227567,0.7117700539,9.9,5.129522795,6.033894459,1,5.3,1
1144,1903_25_TeamNK_TeamB,6,6,42.79887607,49.3217574,0.8677483999,8.25,5.978394837,5.698094097,1,4.65,1
1144,1903_25_TeamNK_TeamB,92,96,78.73623031,96.12499405,0.8191025767,8.75,10.98571361,3.409119746,1,5.05,1
1144,1903_25_TeamNK_TeamB,206,214,54.18023435,68.29841616,0.7932868345,7.9,8.645369134,4.74047053,1,4.15,1
1144,1903_25_TeamNK_TeamB,210,218,18.89980457,26.98314424,0.7004300315,8.15,3.310815245,4.132987322,1,4.45,1
1144,1903_26_TeamNK_TeamB,4,4,40.04651613,46.73982579,0.8567964353,9.3,5.02578772,5.806622207,1,5.75,1
1144,1903_26_TeamNK_TeamB,154,157,44.10614534,56.32676282,0.7830406566,7.2,7.823161502,6.904847093,1,3.6,1
1177,1902_17_TeamMB_TeamA1,48,48,78.1432967,90.36623242,0.8647400098,5.35,16.89088456,7.360560232,1,5,1
1177,1902_17_TeamMB_TeamA1,162,163,65.4469934,82.69264978,0.7914487391,11.1,7.449788269,6.720697691,1,9,1
1177,1902_22_TeamMA_TeamA1,31,31,86.18733516,112.8691454,0.763604038,8.4,13.43680302,5.943326076,1,7.2,1
1177,1902_22_TeamMA_TeamA1,80,80,37.2228073,51.08227058,0.7286834918,6.8,7.512098615,5.381952751,1,5.95,1
1177,1902_22_TeamMA_TeamA1,166,166,32.04225091,42.31171518,0.7572902864,6.1,6.93634675,4.596605639,1,5.6,1
1177,1902_22_TeamMA_TeamA1,191,191,83.74812551,89.51677164,0.9355579292,5.35,16.73210685,6.165118933,1,5.2,1
1177,1902_22_TeamMA_TeamA1,237,237,26.95621095,32.05792181,0.8408595886,4.2,7.632838526,0.9952582178,0,4.1,1
1177,1902_22_TeamMA_TeamA1,246,246,23.85036687,29.83653069,0.7993679665,5.8,5.14422943,3.753277855,1,5.6,1
1177,1902_23_TeamMA_TeamA1,83,83,73.80717358,94.53362093,0.7807505188,5.1,18.5360041,7.310196031,1,4.5,1
1177,1902_23_TeamMA_TeamA1,239,239,95.21162336,106.3577547,0.8952015167,10.8,9.847940254,5.630045457,1,8.45,1
1177,1902_24_TeamMA_TeamA1,95,95,61.87951815,66.90817103,0.9248424699,5.445,12.28800203,5.179376628,1,7.8,1
1177,1902_24_TeamMA_TeamA1,174,174,42.04742304,58.51583054,0.7185649191,5.907,9.90618428,2.307710469,0,8.7,1
