game_str,play_id,play_per_game,line_distance,full_distance,,route_efficiency,time_delta,avg_speed,first_step_speed,first_step_check,hang_time,easy_catch
1902_24_TeamMA_TeamA1,316,316,13.52434456,57.50163743,43.97729287,0.2351992946,6.897,8.337195509,3.617017827,0,9.9,1
1903_30_TeamNF_TeamA2,182,182,1.026869807,37.50741127,36.48054147,0.02737778407,10.45,3.589225959,3.554267633,0,6.65,1
1903_05_TeamND_TeamA2,117,117,35.3400017,67.49289075,32.15288905,0.5236107285,11.6,5.818352651,3.063732914,0,7.1,1
1903_30_TeamNF_TeamA2,6,6,28.96218671,59.16789952,30.20571281,0.4894915476,9.6,6.163322867,6.771506711,0,5.9,1
1903_07_TeamND_TeamA2,37,38,52.51636304,81.02673051,28.51036747,0.648136272,8.6,9.42171285,2.547630752,0,5.1,1
1902_22_TeamMA_TeamA1,31,31,86.18733516,112.8691454,26.6818102,0.763604038,8.4,13.43680302,5.943326076,1,7.2,1
1903_05_TeamND_TeamA2,262,262,38.64227048,63.09838721,24.45611673,0.6124129663,7.65,8.248155191,6.222353568,1,4.3,1
1903_05_TeamND_TeamA2,63,63,35.79876791,58.41140258,22.61263467,0.6128729379,9.95,5.870492722,14.11844801,1,5,1
1902_23_TeamMA_TeamA1,83,83,73.80717358,94.53362093,20.72644734,0.7807505188,5.1,18.5360041,7.310196031,1,4.5,1
1903_30_TeamNF_TeamA2,165,165,67.17173625,87.73479472,20.56305847,0.7656225386,13.25,6.621493941,7.302764338,1,6.6,1
1903_30_TeamNF_TeamA2,248,248,68.57742019,88.14563581,19.56821561,0.7780013108,13.5,6.529306356,8.002243868,1,8.85,1
1903_07_TeamND_TeamA2,156,157,34.30752579,52.24616076,17.93863497,0.656651614,7.45,7.012907484,3.606878429,0,3.8,1
1902_26_TeamMC_TeamA1,96,96,60.41574473,77.70147255,17.28572782,0.7775366766,4.8,16.18780678,5.367967727,1,4.4,1
1902_17_TeamMB_TeamA1,162,163,65.4469934,82.69264978,17.24565638,0.7914487391,11.1,7.449788269,6.720697691,1,9,1
1903_30_TeamNF_TeamA2,18,18,40.9637695,57.66390694,16.70013744,0.7103883811,7.6,7.587356176,10.89807808,1,4.2,1
1902_24_TeamMA_TeamA1,174,174,42.04742304,58.51583054,16.4684075,0.7185649191,5.907,9.90618428,2.307710469,0,8.7,1
1903_06_TeamND_TeamA2,53,54,30.88684077,47.15106953,16.26422876,0.6550612972,7.7,6.123515523,3.916099616,0,4.45,1
1902_28_TeamMC_TeamA1,119,119,77.03264952,90.90403346,13.87138394,0.8474062876,6.45,14.0936486,8.598176041,1,5.4,1
1902_22_TeamMA_TeamA1,80,80,37.2228073,51.08227058,13.85946329,0.7286834918,6.8,7.512098615,5.381952751,1,5.95,1
1902_28_TeamMC_TeamA1,135,135,31.40760554,44.78158952,13.37398398,0.7013508426,5.65,7.925945048,4.382218,0,5.35,1
1903_30_TeamNF_TeamA2,72,72,73.61395689,86.97108448,13.35712758,0.8464187533,9.55,9.10691984,6.643349362,1,5.8,1
